date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:33	776782/776782	---M--	200	added ('OK')	image/png	etag:%22bda4e-5d962e9fa4cb9%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-395-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-395-768x768.png	(from https://mentormate.com/about/)
14:13:33	717810/717810	---M--	200	added ('OK')	image/png	etag:%22b727f-5d962e97d92f2%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-389-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-389-768x768.png	(from https://mentormate.com/about/)
14:13:33	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:13:33%20GMT	https://mentormate.com/team/craig-knighton/	C:/My%20Web%20Sites/testProject/mentormate.com/team/craig-knighton/index.html	(from https://mentormate.com/about/)
14:13:33	578855/578855	---M--	200	added ('OK')	image/png	etag:%229556d-5d962e8a109c2%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2016/03/Group-392-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2016/03/Group-392-768x768.png	(from https://mentormate.com/about/)
14:13:33	617371/617371	---M--	200	added ('OK')	image/png	etag:%2296b9b-5d962e90bf8d5%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-393-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-393-768x768.png	(from https://mentormate.com/about/)
14:13:33	689487/689487	---M--	200	added ('OK')	image/png	etag:%22b02c3-5d962e82f5065%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-390-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-390-768x768.png	(from https://mentormate.com/about/)
14:13:34	532395/532395	---M--	200	added ('OK')	image/png	etag:%229a9a6-5d962e7afcfad%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-391-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-391-768x768.png	(from https://mentormate.com/about/)
14:13:34	643882/643882	---M--	200	added ('OK')	image/png	etag:%22a516a-5d962e73bb108%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-626-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-626-768x768.png	(from https://mentormate.com/about/)
14:13:34	666123/666123	---M--	200	added ('OK')	image/png	etag:%22ab74e-5d962e6c40822%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-685-1-1-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2015/11/Group-685-1-1-768x768.png	(from https://mentormate.com/about/)
14:13:34	581185/581185	---M--	200	added ('OK')	image/png	etag:%22969b4-5d962e63e3639%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2019/02/Group-386-768x768.png	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/2019/02/Group-386-768x768.png	(from https://mentormate.com/about/)
14:13:35	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:13:35%20GMT	https://mentormate.com/team/eleonora-georgieva/	C:/My%20Web%20Sites/testProject/mentormate.com/team/eleonora-georgieva/index.html	(from https://mentormate.com/about/)
